Temperatura,pH,Aw,Bw,T2,pH2,Aw2,Bw2,TxpH,TxAw,pHxAw,TxBw,pHxBw,Crec,Pest,Temperatura,pH,Aw
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
8,7.5,0.999,0.0316227766016838,64,56.25,0.998001,0.001,60,7.992,7.4925,0.25298221281347,0.237170824512629,1,0.90255,8,7.5,0.999
